"user_id","game","behavior","hours"
"100012061","""Star Trek D-A-C""","play","0.7"
"100012061","""Star Trek D-A-C""","purchase","1.0"
"100053304","""Petz Horsez 2""","play","17.0"
"100053304","""Dream Of Mirror Online""","play","0.5"
"100053304","""Portal 2""","purchase","1.0"
"100053304","""Dream Of Mirror Online""","purchase","1.0"
"100053304","""The Lord of the Rings Online""","purchase","1.0"
"100053304","""Portal 2""","play","4.4"
"100053304","""PAYDAY The Heist""","play","1.1"
"100053304","""PAYDAY The Heist""","purchase","1.0"
"100053304","""Dungeons & Dragons Online""","purchase","1.0"
"100053304","""Petz Horsez 2""","purchase","1.0"
"100053304","""Dota 2""","play","1.0"
"100053304","""Dota 2""","purchase","1.0"
"100053304","""Dungeons & Dragons Online""","play","12.6"
"100057229","""Spore""","purchase","1.0"
"100057229","""Patch testing for Chivalry""","purchase","1.0"
"100057229","""Spore Galactic Adventures""","play","8.7"
"100057229","""The Elder Scrolls V Skyrim""","play","19.3"
"100057229","""Spore""","play","6.7"
"100057229","""Chivalry Medieval Warfare""","purchase","1.0"
"100057229","""The Elder Scrolls V Skyrim""","purchase","1.0"
"100057229","""Chivalry Medieval Warfare""","play","8.6"
"100057229","""Spore Galactic Adventures""","purchase","1.0"
"100070732","""Wargame AirLand Battle""","play","28.0"
"100070732","""Arma 2 Operation Arrowhead Beta (Obsolete)""","purchase","1.0"
"100070732","""Wargame Red Dragon""","play","129.0"
"100070732","""Cities Skylines""","play","48.0"
"100070732","""Wargame Red Dragon""","purchase","1.0"
"100070732","""Cities Skylines""","purchase","1.0"
"100070732","""Arma 2""","purchase","1.0"
"100070732","""Arma 2 Operation Arrowhead""","purchase","1.0"
"100070732","""Wargame European Escalation""","play","78.0"
"100070732","""Wargame European Escalation""","purchase","1.0"
"100070732","""Wargame AirLand Battle""","purchase","1.0"
"100096071","""Half-Life 2 Lost Coast""","purchase","1.0"
"100096071","""Half-Life 2 Episode One""","play","1.9"
"100096071","""Just Cause 2""","play","65.0"
"100096071","""Tom Clancy's Ghost Recon Phantoms - EU""","purchase","1.0"
"100096071","""DC Universe Online""","play","2.2"
"100096071","""Team Fortress Classic""","purchase","1.0"
"100096071","""LEGO MARVEL Super Heroes""","play","152.0"
"100096071","""Far Cry""","purchase","1.0"
"100096071","""Half-Life 2 Episode One""","purchase","1.0"
"100096071","""Robocraft""","play","3.6"
"100096071","""Nosgoth""","play","0.3"
"100096071","""Fallout New Vegas Courier's Stash""","purchase","1.0"
"100096071","""Robocraft""","purchase","1.0"
"100096071","""Half-Life Opposing Force""","play","0.7"
"100096071","""Dota 2""","play","2.6"
"100096071","""Half-Life Deathmatch Source""","purchase","1.0"
"100096071","""Far Cry 3""","play","33.0"
"100096071","""Euro Truck Simulator 2""","play","156.0"
"100096071","""APB Reloaded""","purchase","1.0"
"100096071","""Just Cause 2""","purchase","1.0"
"100096071","""RaceRoom Racing Experience ""","play","5.5"
"100096071","""RaceRoom Racing Experience ""","purchase","1.0"
"100096071","""The Elder Scrolls V Skyrim""","purchase","1.0"
"100096071","""King Arthur - The Role-playing Wargame""","play","1.3"
"100096071","""DOOM 3""","purchase","1.0"
"100096071","""Half-Life 2""","play","11.0"
"100096071","""Far Cry 3 Blood Dragon""","purchase","1.0"
"100096071","""DC Universe Online""","purchase","1.0"
"100096071","""Far Cry 2""","purchase","1.0"
"100096071","""Fallout New Vegas Dead Money""","purchase","1.0"
"100096071","""Half-Life 2""","purchase","1.0"
"100096071","""The LEGO Movie - Videogame""","play","14.7"
"100096071","""Marvel Heroes 2015""","play","2.8"
"100096071","""Far Cry 2 Fortunes Pack""","purchase","1.0"
"100096071","""Unturned""","play","0.9"
"100096071","""Half-Life Source""","purchase","1.0"
"100096071","""Euro Truck Simulator 2 - Going East!""","purchase","1.0"
"100096071","""Half-Life 2 Deathmatch""","purchase","1.0"
"100096071","""Tom Clancy's Ghost Recon Phantoms - EU""","play","26.0"
"100096071","""Fallout New Vegas""","purchase","1.0"
"100096071","""Dota 2""","purchase","1.0"
"100096071","""DOOM 3""","play","2.8"
"100096071","""LEGO MARVEL Super Heroes""","purchase","1.0"
"100096071","""Half-Life""","purchase","1.0"
"100096071","""King Arthur - The Role-playing Wargame""","purchase","1.0"
"100096071","""Fallout New Vegas""","play","64.0"
"100096071","""Half-Life Opposing Force""","purchase","1.0"
"100096071","""The LEGO Movie - Videogame""","purchase","1.0"
"100096071","""Far Cry 2""","play","0.9"
"100096071","""The Elder Scrolls V Skyrim""","play","159.0"
"100096071","""Nosgoth""","purchase","1.0"
"100096071","""Half-Life 2 Episode Two""","purchase","1.0"
"100096071","""Unturned""","purchase","1.0"
"100096071","""Marvel Heroes 2015""","purchase","1.0"
"100096071","""Far Cry 3""","purchase","1.0"
"100096071","""Fallout New Vegas Honest Hearts""","purchase","1.0"
"100096071","""Euro Truck Simulator 2""","purchase","1.0"
"100096071","""Half-Life Blue Shift""","purchase","1.0"
"100096071","""Gotham City Impostors Free To Play""","purchase","1.0"
"100168166","""Team Fortress 2""","play","10.7"
"100168166","""Team Fortress 2""","purchase","1.0"
"100208126","""Insurgency Modern Infantry Combat""","play","21.0"
"100208126","""Insurgency Modern Infantry Combat""","purchase","1.0"
"100267049","""Sid Meier's Civilization V""","purchase","1.0"
"100267049","""Sid Meier's Civilization V""","play","15.2"
"100311267","""ArcheAge""","purchase","1.0"
"100311267","""Dungeonland""","play","0.4"
"100311267","""KnightShift""","purchase","1.0"
"100311267","""RaceRoom Racing Experience ""","play","0.7"
"100311267","""Space Hack""","purchase","1.0"
"100311267","""Heroes & Generals""","purchase","1.0"
"100311267","""Team Fortress 2""","play","29.0"
"100311267","""Rise of Incarnates""","play","0.4"
"100311267","""Nosgoth""","play","0.8"
"100311267","""H1Z1""","play","6.2"
"100311267","""Cry of Fear""","play","1.6"
"100311267","""H1Z1""","purchase","1.0"
"100311267","""America's Army Proving Grounds""","play","4.0"
"100311267","""Rise of Incarnates""","purchase","1.0"
"100311267","""PAYDAY 2""","play","4.2"
